Name,Type,Rating,DC Score,RD Score,Website,Phone
Grounded Baking,bakery,5,100,90,http://groundedbaking.com/,(717) 602-5702
Mommy Kneads Dough,bakery,5,100,90,https://mommykneadsdough.com/,(401) 326-5922
Norwich: Sessions Wellness Studio,fitness_center,5,100,60,https://sessionswellnessstudio.com/our-studios,(860) 886-9642
Horsepower Cigar Lounge,store,5,85,75,http://www.horsepowercigarlounge.com/,(860) 892-8089
Refined Medspa,spa,5,100,60,https://www.refinedmedspact.com/,(860) 222-5738
Contemporary Wellness Med Spa,spa,5,100,60,http://www.contemporarywellnessmedspa.com/,(860) 698-5153
Thames River Landing Park,park,5,95,65,https://www.cityofgroton.com/591/Thames-View-Park,(860) 333-6706
Siam Therapeutic & Spa,spa,5,100,60,https://www.siam-therapeuticspa.com/,(860) 772-9182
Country Cottage Sourdough,bakery,5,70,90,https://country-cottage-sourdough.square.site/,
Cafe 1888,cafe,5,70,90,,(401) 561-5938
Breathe Massage and Wellness,wellness_center,5,100,60,http://breathemassageri.com/,(401) 388-8238
Ana Beauty salon and Barbershop,beauty_salon,5,80,75,https://www.instagram.com/anabeautysalonbarbershop?igsh=MTQwbTI3NWRjOW5jeQ%3D%3D&utm_source=qr,(860) 222-8340
Hunts Brook Farm,farm,5,95,60,https://huntsbrookfarmct.com/,(860) 912-2352
Joseph Conrad Historic Ship,museum,5,90,65,http://mysticseaport.org/,(860) 572-0711
Ray's Hair Cutting,barber_shop,5,95,60,https://rayshaircutting.com/,(401) 596-5655
Path 2 Self Performance,fitness_center,5,85,60,http://path2selfperformance.com/,(860) 213-8251
Cure Med Spa Mystic,spa,5,85,60,http://curemedspamystic.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb,(860) 932-2873
Fit F.A.M,gym,5,85,60,http://fitfamfitness.com/,(860) 503-0650
Crocker's Boatyard Inc,marina,5,85,60,http://crockersboatyardinc.com/,(860) 443-6304
Zen Zone,wellness_center,5,85,60,https://zenzoneri.com/,(401) 799-5128
Old Norse Athletics + CrossFit Dyr - 24/7 Open Gym,gym,5,80,60,http://crossfitdyr.com/,(860) 415-4909
Crowned Fit Groton,gym,5,80,60,http://www.crownedfit.com/,(959) 456-8838
